data_set_name,target_name,ra,dec,start_time,stop_time,actual_duration,instrument,aper,spec,central_wavelength,release_date,preview_name,filename,data_uri,cutout,peak_value,fits_filepath,cutout_filepath
J93I41DMQ,0364-52000-084,246.9435416667,-0.8993222222222,2005-03-20T22:55:50.973000,2005-03-20T23:02:52.067000,420.0,ACS   ,WFC1,CLEAR1L;F435W,4329.2168,2005-09-20T01:19:32,J93I41DMQ,j93i41dmq_drz.fits,mast:HST/product/j93i41dmq_drz.fits,,,/data/bwedig/roman-pandeia/data/mastDownload/SLACS/j93i41dmq_drz.fits,/data/bwedig/roman-pandeia/data/cutouts/SLACS/cutout_WFC1_CLEAR1L;F435W_J93I41DMQ.fits
J93I41DNQ,0364-52000-084,246.9435416667,-0.8993222222222,2005-03-20T23:05:29.040000,2005-03-20T23:12:30.083000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.6597,2005-09-20T09:57:07,J93I41DNQ,j93i41dnq_drz.fits,mast:HST/product/j93i41dnq_drz.fits,,,/data/bwedig/roman-pandeia/data/mastDownload/SLACS/j93i41dnq_drz.fits,/data/bwedig/roman-pandeia/data/cutouts/SLACS/cutout_WFC1_CLEAR1L;F814W_J93I41DNQ.fits
J93I21I7Q,0436-51883-633,120.6700833333,45.08131666667,2005-04-24T06:17:34.213000,2005-04-24T06:24:35.260000,420.0,ACS   ,WFC1,CLEAR1L;F435W,4329.2217,2005-10-24T18:33:31,J93I21I7Q,j93i21i7q_drz.fits,mast:HST/product/j93i21i7q_drz.fits,,,/data/bwedig/roman-pandeia/data/mastDownload/SLACS/j93i21i7q_drz.fits,/data/bwedig/roman-pandeia/data/cutouts/SLACS/cutout_WFC1_CLEAR1L;F435W_J93I21I7Q.fits
J93I21I8Q,0436-51883-633,120.6700833333,45.08131666667,2005-04-24T06:27:12.197000,2005-04-24T06:34:13.243000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.6836,2005-10-24T18:57:03,J93I21I8Q,j93i21i8q_drz.fits,mast:HST/product/j93i21i8q_drz.fits,,,/data/bwedig/roman-pandeia/data/mastDownload/SLACS/j93i21i8q_drz.fits,/data/bwedig/roman-pandeia/data/cutouts/SLACS/cutout_WFC1_CLEAR1L;F814W_J93I21I8Q.fits
J93I04JSQ,0439-51877-333,120.9925416667,45.61545,2005-04-05T12:35:09.187000,2005-04-05T12:42:10.203000,420.0,ACS   ,WFC1,CLEAR1L;F435W,4329.2188,2005-10-05T19:07:30,J93I04JSQ,j93i04jsq_drz.fits,mast:HST/product/j93i04jsq_drz.fits,,,/data/bwedig/roman-pandeia/data/mastDownload/SLACS/j93i04jsq_drz.fits,/data/bwedig/roman-pandeia/data/cutouts/SLACS/cutout_WFC1_CLEAR1L;F435W_J93I04JSQ.fits
J93I04JTQ,0439-51877-333,120.9925416667,45.61545,2005-04-05T12:44:47.170000,2005-04-05T12:51:48.220000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.6704,2005-10-05T19:12:01,J93I04JTQ,j93i04jtq_drz.fits,mast:HST/product/j93i04jtq_drz.fits,,,/data/bwedig/roman-pandeia/data/mastDownload/SLACS/j93i04jtq_drz.fits,/data/bwedig/roman-pandeia/data/cutouts/SLACS/cutout_WFC1_CLEAR1L;F814W_J93I04JTQ.fits
J93I01MQQ,0441-51868-108,124.8830416667,45.57911944444,2004-12-08T23:38:34.037000,2004-12-08T23:45:35.087000,420.0,ACS   ,WFC1,CLEAR1L;F435W,4329.2021,2005-06-10T10:02:45,J93I01MQQ,j93i01mqq_drz.fits,mast:HST/product/j93i01mqq_drz.fits,,,/data/bwedig/roman-pandeia/data/mastDownload/SLACS/j93i01mqq_drz.fits,/data/bwedig/roman-pandeia/data/cutouts/SLACS/cutout_WFC1_CLEAR1L;F435W_J93I01MQQ.fits
J93I01MRQ,0441-51868-108,124.8830416667,45.57911944444,2004-12-08T23:48:12.020000,2004-12-08T23:55:13.070000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.5884,2005-06-10T10:08:14,J93I01MRQ,j93i01mrq_drz.fits,mast:HST/product/j93i01mrq_drz.fits,,,/data/bwedig/roman-pandeia/data/mastDownload/SLACS/j93i01mrq_drz.fits,/data/bwedig/roman-pandeia/data/cutouts/SLACS/cutout_WFC1_CLEAR1L;F814W_J93I01MRQ.fits
J93I43IKQ,0472-51955-429,138.022125,0.4836611111111,2004-10-12T22:55:10.477000,2004-10-12T23:02:11.407000,420.0,ACS   ,WFC1,CLEAR1L;F435W,4329.1943,2005-04-14T03:42:54,J93I43IKQ,j93i43ikq_drz.fits,mast:HST/product/j93i43ikq_drz.fits,,,/data/bwedig/roman-pandeia/data/mastDownload/SLACS/j93i43ikq_drz.fits,/data/bwedig/roman-pandeia/data/cutouts/SLACS/cutout_WFC1_CLEAR1L;F435W_J93I43IKQ.fits
J93I43ILQ,0472-51955-429,138.022125,0.4836611111111,2004-10-12T23:04:48.837000,2004-10-12T23:11:49.767000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.5483,2005-04-14T06:23:35,J93I43ILQ,j93i43ilq_drz.fits,mast:HST/product/j93i43ilq_drz.fits,,,/data/bwedig/roman-pandeia/data/mastDownload/SLACS/j93i43ilq_drz.fits,/data/bwedig/roman-pandeia/data/cutouts/SLACS/cutout_WFC1_CLEAR1L;F814W_J93I43ILQ.fits
