,z_source,z_lens,stellar_mass,einstein_radius,velocity_dispersion,source_mag_fuv,lensed_source_mag_fuv,lens_mag_fuv,source_mag_nuv,lensed_source_mag_nuv,lens_mag_nuv,source_mag_u,lensed_source_mag_u,lens_mag_u,source_mag_b,lensed_source_mag_b,lens_mag_b,source_mag_v,lensed_source_mag_v,lens_mag_v,source_mag_r,lensed_source_mag_r,lens_mag_r,source_mag_i,lensed_source_mag_i,lens_mag_i,source_mag_j,lensed_source_mag_j,lens_mag_j,source_mag_h,lensed_source_mag_h,lens_mag_h,source_mag_k,lensed_source_mag_k,lens_mag_k
60,6.2777610416655305,2.5159059421268943,328417475380.55884,0.6787942088002252,275.5593286919575,inf,inf,30.95947903280225,inf,inf,30.130457227571533,inf,inf,28.334802829694993,32.92452907337466,31.93985960238038,27.453237809926627,31.10118049777128,30.116511026777005,27.24704626743796,29.60068612748455,28.616016656490274,26.94134767472189,29.262963465900413,28.278293994906136,26.716145105061933,29.034068133770234,28.049398662775957,24.571986570382762,28.911211528962184,27.926542057967907,23.382965056038465,28.708985194465,27.724315723470724,22.481283968803176
61,7.735225903752296,0.5724198467854587,18787326916.872437,0.667058440092138,168.74536506497267,inf,inf,23.620273578833043,inf,inf,23.500376998733422,inf,inf,23.35845713794827,37.82543268121563,36.04817419625516,23.04787956134915,35.9772421191409,34.19998363418043,22.560433970646855,33.92440799311087,32.1471495081504,22.094990630340803,33.328614204201216,31.55135571924075,21.972437895214654,32.455729852767405,30.67847136780694,21.477720248932968,32.27032242201761,30.49306393705714,21.21361567763978,32.00589638157123,30.228637896610767,20.925971887485055
62,7.260034698535378,3.9948773003884868,201424484650.72394,0.3510250880988443,268.95111187038947,inf,inf,inf,inf,inf,30.652108770428118,inf,inf,29.046233886863735,38.075699476438025,37.09842018763739,26.401265344341848,36.65379909179128,35.67651980299064,25.51935952059475,34.42655873968731,33.44927945088667,25.3209311351515,34.021744514588725,33.04446522578809,25.288007202507,33.20692808497187,32.22964879617123,24.99473724695856,32.982186292650916,32.00490700385028,24.61146885526715,32.612330008478025,31.63505071967739,23.574436480757914
63,5.541868603145142,2.266402153522268,36497455163.61222,0.34738773804643563,193.86766598129748,inf,inf,31.613715010837034,inf,inf,30.14114177762169,39.8477208186365,38.58548029834274,28.59415138189369,36.62278023641783,35.360539716124066,27.193233824090782,34.364719570531335,33.10247905023757,26.526008248353065,33.36195187700202,32.099711356708255,25.994645977363085,33.2191460226589,31.956905502365128,25.72506010205535,32.869117222126135,31.606876701832366,24.451420479213006,32.60861092106597,31.346370400772198,23.85458930857724,32.09004352823665,30.82780300794288,23.451460612481533
64,5.977793227417224,3.911250371219968,88780241895.5332,0.20200899470089287,226.1586936502232,inf,inf,inf,inf,inf,31.106971742706033,inf,inf,29.63892566863265,33.98429380414557,32.992615994460074,26.971426813630774,31.964998013476432,30.973320203790934,26.16390295551292,30.70676237718242,29.715084567496923,26.018279522909648,30.494612161298377,29.50293435161288,26.011734090740735,30.328541449378207,29.33686363969271,25.80866199360572,30.255252341990023,29.263574532304524,25.53581498806715,30.107480042901024,29.115802233215526,24.665734192186772
65,6.909649378239057,1.5974692388249796,46687837974.22375,0.5602661446972166,204.13667769839012,inf,inf,27.924438776158397,inf,inf,26.68693864509447,inf,inf,26.134200355491515,34.43119557302831,33.561622064635316,25.92614812184496,33.14828521652669,32.27871170813369,25.744855269093293,30.890978952781076,30.02140544438808,25.414943745552605,30.53105368711789,29.661480178724894,25.21355807246279,30.034065828118507,29.16449231972551,23.981366456097604,29.945054944468197,29.0754814360752,23.47363294028535,29.837757796725818,28.96818428833282,22.886644375635967
66,5.378167617483531,2.4496257146764164,9769487618.669716,0.17316010496175407,155.47733699713768,inf,inf,33.40022738868881,inf,inf,32.28455640794091,33.68804306210886,33.43285137628068,30.315878372985694,31.139286258976846,30.884094573148662,28.975341975350112,28.853712866078226,28.598521180250042,28.35088990260042,27.98208438470695,27.726892698878768,27.854732054337084,27.883628791019753,27.62843710519157,27.625784453965508,27.532970708202946,27.277779022374762,26.39689605917689,27.299798405692563,27.04460671986438,25.714199773819487,26.6729989815989,26.417807295770718,25.215413493635623
67,7.880081659323072,1.4676697410514754,21752221024.274647,0.4952476628823471,178.6537090503776,inf,inf,28.670856968920646,inf,inf,27.654413673611543,inf,inf,27.179627258214367,35.38575028239106,34.480877770798884,26.596342321613776,33.307301280463236,32.40242876887106,26.189882525519707,31.351087804269252,30.446215292677078,25.567387137244154,30.681094315158983,29.77622180356681,25.181198596682655,29.804901449397708,28.900028937805534,23.928095284723376,29.762781034593306,28.857908523001132,23.540507952649712,29.734088041492594,28.82921552990042,23.11167465851687
68,7.452209472870594,0.7276143493203384,4756931752.751652,0.3680485369207251,139.28134329249048,inf,inf,26.274766565622876,inf,inf,25.93914179478682,inf,inf,25.62842849519555,35.142656499812254,34.30784451031464,25.0088956970897,33.58660924894368,32.751797259446064,24.328782760192134,31.423195735962707,30.58838374646509,23.672361556847697,30.937942766152382,30.103130776654766,23.496029156441153,30.11845493418297,29.283642944685354,23.038511726800586,29.94422053669804,29.109408547200424,22.82309091815489,29.62131569454433,28.786503705046712,22.566910995279173
69,5.689754835072818,0.9728657812447408,34596888806.33408,0.5771477097897965,192.28636100105038,inf,inf,25.559654390379524,inf,inf,25.27798913139699,38.29453379244738,37.030083086619655,25.140517675520375,33.5370383069639,32.27258760113617,24.903163892490017,31.36015604966873,30.095705343841004,24.522379236802,30.286913384867,29.022462679039272,23.755180595275167,30.144197014493876,28.87974630866615,23.457748065297917,29.751405356293013,28.486954650465286,22.625020968425975,29.524057776120408,28.25960707029268,22.28015791716854,28.825712562281332,27.561261856453605,21.88575860768648
70,7.693929355204033,3.407912951157107,86803854250.6088,0.3194193580308147,225.45583669425238,inf,inf,35.279508709529594,inf,inf,31.082778178614515,inf,inf,30.089118972607967,34.54161902570921,34.10430933458722,27.345386291091632,32.74581423023489,32.3085045391129,26.603142687810948,30.6640668646657,30.22675717354371,26.213017054262753,30.08826560664452,29.65095591552253,26.071788833026933,29.284631786197785,28.847322095075796,25.291975989925323,29.196203571035753,28.758893879913764,24.68210722139038,29.07913319892456,28.64182350780257,23.927906547845577
