recno,SDSS,Plate,MJD,Fiber,zFG,zBG,Imag,n_Imag,AI,Name,L(V555),Re,Le2/LdV,b/a,PA,sigma,e_sigma,Mph,Mul,Lens,n_Lens,_RA,_DE
36,095629.78+510006.6,902,52409,68,0.2405,0.4699,16.68,d,0.02,J0956+5100,122.7,2.19,0.311,0.73,147.7,334,17,E,S,A, ,149.12408,51.00183
37,095900.96+441639.4,942,52703,499,0.2369,0.5315,16.9,d,0.02,J0959+4416,97.6,1.98,0.317,0.87,55.9,244,19,E,S,A, ,149.754,44.27761
38,095944.07+041017.0,572,52289,495,0.126,0.535,16.92,d,0.05,J0959+0410,25.9,1.39,0.298,0.6,58.4,197,13,E,S,A, ,149.93362,4.17139
39,101622.86+385903.3,1427,52996,461,0.1679,0.4394,16.71,d,0.03,J1016+3859,56.7,1.46,0.32,0.85,63.3,247,13,E,S,A, ,154.09525,38.98425
40,102026.54+112241.1,1598,53033,353,0.2822,0.553,17.21,d,0.06,J1020+1122,110.5,1.59,0.319,0.79,106.6,282,18,E,S,A, ,155.11058,11.37808
41,102332.26+423001.8,1359,53002,418,0.1912,0.696,16.77,d,0.03,J1023+4230,70.1,1.77,0.314,0.85,167.5,242,15,E,S,A, ,155.88442,42.5005
42,102551.32-003517.5,272,51941,151,0.1589,0.2764,15.41,s,0.12,J1025-0035,181.2,4.94,0.312,0.76,112.3,264,13,E,S,X, ,156.46383,-0.58819
43,102922.94+042001.8,576,52325,433,0.1045,0.6154,16.13,d,0.06,J1029+0420,36.7,1.56,0.315,0.52,127.9,210,11,E,S,A, ,157.34558,4.33383
44,102927.53+611505.3,772,52375,140,0.1574,0.2512,16.06,s,0.02,J1029+6115,88.8,2.73,0.36,0.83,3.1,228,14,E,S,B, ,157.36471,61.25147
45,103235.84+532234.9,905,52643,100,0.1334,0.329,17.05,d,0.03,J1032+5322,25.5,0.81,0.306,0.44,136.5,296,15,L,S,A, ,158.14933,53.37636
46,103904.22+051335.8,577,52367,571,0.0668,0.3627,15.38,s,0.05,J1039+0513,28.7,2.4,0.323,0.87,59.0,190,10,E,S,X, ,159.76758,5.22661
47,103957.78+093351.0,1240,52734,507,0.2212,0.5612,, ,0.05,J1039+0933,,,,,,,,E,M,B, ,159.99075,9.56417
48,104606.93+415116.1,1361,53047,77,0.1025,0.7584,16.61,d,0.02,J1046+4151,22.0,1.03,0.308,0.36,49.8,191,10,L,S,X, ,161.52887,41.85447
49,110024.39+532913.9,1011,52652,175,0.3171,0.8581,17.18,s,0.02,J1100+5329,143.6,2.24,0.314,0.58,103.0,,,E,S,A, ,165.10162,53.48719
50,110308.21+532228.2,1011,52652,156,0.1582,0.7353,16.43,d,0.02,J1103+5322,63.7,1.95,0.33,0.46,45.5,196,12,U,S,A, ,165.78421,53.3745
51,110646.15+522837.8,1011,52652,7,0.0955,0.4069,15.52,s,0.02,J1106+5228,51.4,1.68,0.324,0.63,57.3,262,13,E,S,A, ,166.69229,52.47717
52,110817.70+025241.3,509,52374,471,0.1368,0.3105,17.19,s,0.08,J1108+0252,24.7,1.17,0.322,0.86,146.1,178,14,E,S,B, ,167.07375,2.87814
53,111250.60+082610.4,1221,52751,28,0.273,0.6295,17.22,s,0.06,J1112+0826,101.9,1.5,0.328,0.77,137.5,320,20,E,S,A, ,168.21083,8.43622
