wavelength,response_SCA01,response_SCA02,response_SCA03,response_SCA04,response_SCA05,response_SCA06,response_SCA07,response_SCA08,response_SCA09,response_SCA10,response_SCA11,response_SCA12,response_SCA13,response_SCA14,response_SCA15,response_SCA16,response_SCA17,response_SCA18,response
7470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.420970641441537e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.456094800800854e-06
7490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001989436788648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2104853207207685e-05,1.2280474004000427e-05
7500.0,0.0,0.0,2.2104853207207685e-05,0.0,0.0,6.631455962162305e-05,2.2104853207207685e-05,4.420970641441537e-05,0.0009726135411171,0.0,0.0,2.2104853207207685e-05,0.0,0.0,2.2104853207207685e-05,0.0,0.0,0.0001768388256576,7.49108914244205e-05
7510.0,0.0,0.0,0.000110524266036,0.0,0.0,0.0003757825045225,0.000110524266036,0.000221048532072,0.0037578250452253,0.0,0.0,0.000110524266036,0.0,0.0,0.000221048532072,2.2104853207207685e-05,4.420970641441537e-05,0.0010610329539459,0.00033525694030929574
7520.0,0.0,0.0,0.0007073553026306,0.0,2.2104853207207685e-05,0.0019010173758198,0.0005747261833873,0.0011052426603603,0.0119808304383065,0.0,0.0,0.0006189358898018,0.0,2.2104853207207685e-05,0.0013262911924324,0.0001768388256576,0.0003536776513153,0.0049072774120001,0.0013164668132292286
7530.0,0.0,4.420970641441537e-05,0.0032715182746667,2.2104853207207685e-05,0.0002431533852792,0.0074272306776217,0.0024978484124144,0.0045535997606847,0.0316983594991358,0.0,4.420970641441537e-05,0.0029620503297658,2.2104853207207685e-05,0.0001326291192432,0.0058798909531172,0.0010389281007387,0.0020336464950631,0.0175954631529373,0.0044148304044395025
7540.0,2.2104853207207685e-05,0.0003536776513153,0.0119366207318921,0.0001989436788648,0.0013483960456396,0.023210095867568,0.0086651024572254,0.0151418244469372,0.07013869922647,2.2104853207207685e-05,0.0003094679449009,0.0111408460164326,0.0001326291192432,0.0008178795686666,0.020336464950631,0.0046641240267208,0.008841941282883,0.0493380323584875,0.012589941948905134
7550.0,0.0001768388256576,0.0019010173758198,0.0345277807096584,0.0010831378071531,0.005968310365946,0.0582904979074066,0.0248458550049014,0.0408055590205053,0.1311480940783632,0.0001989436788648,0.0017462834033694,0.0329583361319466,0.0008178795686666,0.0041778172561622,0.055240028164812,0.0166228496118201,0.0295099790316222,0.1098169107334077,0.030546451037560166
7560.0,0.0009726135411171,0.0078693277417659,0.0801964074357494,0.004686228879928,0.0204690940698743,0.1190346345208133,0.0589757483568301,0.0899225428469208,0.2100182103216802,0.0011273475135675,0.0075377549436578,0.0775880347572989,0.0039125590176757,0.0160702282816399,0.1194104170253359,0.046729659680037,0.0764606872437313,0.1974847585531934,0.06324812526282314
